ts,battery_level_pct
1467115273,99
1467115273,99
1467115275,99
1467115298,99
1467115299,99
1467115376,99
1467115376,99
1467115376,99
1467115377,99
1467115872,99
1467115873,99
1467115952,99
1467115952,99
1467115953,99
1467115959,99
1467115959,99
1467115959,99
1467115959,99
1467115959,99
1467115959,99
1467115983,99
1467115985,99
1467116473,99
1467116473,98
1467116473,98
1467116473,98
1467117073,98
1467117073,98
1467117615,98
1467117615,98
1467117641,98
1467117641,98
1467117641,98
1467117641,98
1467117641,98
1467117641,98
1467117672,98
1467117672,98
1467117705,98
1467117707,98
1467117754,98
1467117754,98
1467117755,98
1467118273,98
1467118273,98
1467118873,98
1467118873,98
1467118873,98
1467119322,98
1467119322,98
1467119322,98
1467119322,98
1467119322,98
1467119322,98
1467119323,98
1467119330,98
1467119330,98
1467119420,98
1467119422,98
1467119473,98
1467119473,98
1467119556,98
1467119556,98
1467119557,98
1467119584,98
1467119586,98
1467120073,98
1467120073,98
1467120668,98
1467120669,98
1467120673,98
1467120673,98
1467121003,98
1467121003,98
1467121003,98
1467121003,98
1467121272,98
1467121273,98
1467121358,98
1467121358,98
1467121359,98
1467121359,98
1467121384,98
1467121386,98
1467121872,98
1467121872,98
1467122401,98
1467122401,98
1467122473,98
1467122473,98
1467122684,98
1467122684,98
1467122684,98
1467122684,98
1467122684,98
1467122684,98
1467123072,98
1467123072,98
1467123160,98
1467123160,98
1467123161,98
1467123185,98
1467123187,98
1467123673,98
1467123673,98
1467124138,98
1467124138,98
1467124228,98
1467124230,98
1467124273,98
1467124273,98
1467124365,98
1467124365,98
1467124365,98
1467124365,98
1467124365,98
1467124365,98
1467124873,98
1467124873,98
1467124962,98
1467124962,98
1467124963,98
1467124986,98
1467124988,98
1467125473,98
1467125473,98
1467126046,98
1467126046,98
1467126046,98
1467126046,98
1467126046,98
1467126046,98
1467126073,98
1467126073,98
1467126673,98
1467126673,98
1467126763,98
1467126763,98
1467126764,98
1467126786,98
1467126788,98
1467127269,98
1467127269,98
1467127271,98
1467127271,98
1467127369,98
1467127371,98
1467127727,98
1467127727,98
1467127727,98
1467127727,98
1467127727,98
1467127727,98
1467127873,98
1467127873,98
1467128473,98
1467128473,97
1467128473,97
1467128473,97
1467128524,97
1467128524,97
1467128544,97
1467128554,97
1467128555,97
1467128565,97
1467128565,97
1467128565,97
1467128565,97
1467128566,97
1467128582,97
1467128583,97
1467128584,97
1467128584,97
1467128587,97
1467128589,97
1467128710,97
1467128710,97
1467128710,97
1467128710,97
1467128764,97
1467128764,97
1467128764,97
1467128765,97
1467128765,97
1467128766,97
1467128767,97
1467128768,97
1467128770,97
1467128771,97
1467128891,97
1467128891,97
1467128891,97
1467128891,97
1467129072,97
1467129133,97
1467129133,97
1467129408,97
1467129408,97
1467129408,97
1467129408,97
1467129408,97
1467129408,97
1467129408,97
1467129408,97
1467129409,97
1467129673,97
1467129673,97
1467129683,97
1467129683,97
1467129773,97
1467129775,97
1467129775,97
1467129777,97
1467129894,97
1467129896,97
1467130273,97
1467130273,97
1467130367,97
1467130367,97
1467130368,97
1467130388,97
1467130389,97
1467130872,97
1467130872,97
1467130995,97
1467131057,97
1467131089,97
1467131089,97
1467131089,97
1467131089,97
1467131472,97
1467131472,97
1467132073,97
1467132073,97
1467132166,97
1467132166,97
1467132167,97
1467132167,97
1467132169,97
1467132188,97
1467132190,97
1467132672,97
1467132672,97
1467132770,97
1467132770,97
1467132770,97
1467132770,97
1467132771,97
1467133201,97
1467133201,97
1467133273,97
1467133273,97
1467133870,97
1467133870,97
1467133871,97
1467133871,97
1467133873,97
1467133969,97
1467133969,97
1467133970,97
1467133988,97
1467133990,97
1467134452,97
1467134452,97
1467134452,97
1467134452,97
1467134452,97
1467134452,97
1467134453,97
1467134473,97
1467134473,97
1467135073,97
1467135073,97
1467135673,97
1467135673,97
1467135771,97
1467135771,97
1467135771,97
1467135771,97
1467135772,97
1467135789,97
1467135791,97
1467136134,97
1467136134,97
1467136134,97
1467136134,97
1467136134,97
1467136134,97
1467136272,97
1467136272,97
1467136873,97
1467136873,97
1467136974,97
1467136974,97
1467137064,97
1467137066,97
1467137473,97
1467137473,97
1467137573,97
1467137573,97
1467137574,97
1467137589,97
1467137591,97
1467137687,97
1467137687,97
1467137806,97
1467137806,97
1467137816,97
1467137816,97
1467137816,97
1467137816,97
1467137950,97
1467137951,97
1467137959,97
1467137960,97
1467138073,97
1467138073,97
1467138124,97
1467138124,97
1467138373,97
1467138373,97
1467138402,97
1467138402,97
1467138405,97
1467138406,97
1467138411,97
1467138412,97
1467138454,97
1467138455,97
1467138492,97
1467138492,97
1467138580,97
1467138580,97
1467138581,97
1467138582,97
1467138583,97
1467138584,97
1467138636,97
1467138637,97
1467138639,97
1467138640,97
1467138645,97
1467138646,97
1467138672,97
1467138672,97
1467138766,97
1467138766,97
1467138768,97
1467138769,97
1467138843,97
1467138843,97
1467139272,97
1467139272,97
1467139374,97
1467139374,97
1467139375,97
1467139380,97
1467139380,97
1467139390,97
1467139392,97
1467139497,97
1467139497,97
1467139497,97
1467139497,97
1467139497,97
1467139497,97
1467139592,97
1467139594,97
1467139873,97
1467139873,96
1467139873,96
1467139873,96
1467140473,96
1467140473,96
1467140473,96
1467140651,96
1467140652,96
1467141072,96
1467141072,96
1467141176,96
1467141176,96
1467141177,96
1467141177,96
1467141177,96
1467141177,96
1467141177,96
1467141177,96
1467141191,96
1467141193,96
1467141672,96
1467141672,96
1467141672,96
1467141761,96
1467141761,96
1467141851,96
1467141853,96
1467142273,96
1467142273,96
1467142858,96
1467142858,96
1467142858,96
1467142858,96
1467142873,96
1467142873,96
1467142978,96
1467142978,96
1467142978,96
1467142979,96
1467142991,96
1467142993,96
1467143473,96
1467143473,96
1467143991,96
1467143993,96
1467144073,96
1467144073,96
1467144539,96
1467144539,96
1467144539,96
1467144539,96
1467144539,96
1467144539,96
1467144673,96
1467144673,96
1467144780,96
1467144780,96
1467144781,96
1467144791,96
1467144793,96
1467145102,96
1467145102,96
1467145192,96
1467145194,96
1467145273,96
1467145273,96
1467145431,96
1467145433,96
1467145590,96
1467145592,96
1467145873,96
1467145873,96
1467146220,96
1467146220,96
1467146220,96
1467146220,96
1467146220,96
1467146220,96
1467146473,96
1467146473,96
1467146581,96
1467146581,96
1467146582,96
1467146592,96
1467146594,96
1467146702,96
1467146702,96
1467146792,96
1467146794,96
1467147073,96
1467147073,96
1467147074,96
1467147075,96
1467147182,96
1467147184,96
1467147673,96
1467147673,96
1467147901,96
1467147901,96
1467147901,96
1467147901,96
1467147901,96
1467147901,96
1467148273,96
1467148273,96
1467148383,96
1467148383,96
1467148385,96
1467148393,96
1467148395,96
1467148872,96
1467148872,96
1467149473,96
1467149473,96
1467149495,96
1467149495,96
1467149582,96
1467149582,96
1467149582,96
1467149582,96
1467149582,96
1467149582,96
1467149585,96
1467149587,96
1467150073,96
1467150073,96
1467150185,96
1467150185,96
1467150187,96
1467150193,96
1467150195,96
1467150273,96
1467150273,96
1467150274,96
1467150274,96
1467150274,96
1467150274,96
1467150305,95
1467150459,95
1467150459,95
1467150459,95
1467150459,95
1467150513,95
1467150513,95
1467150513,95
1467150514,95
1467150518,95
1467150519,95
1467150519,95
1467150519,95
1467150521,95
1467150523,95
1467150524,95
1467150641,95
1467150641,95
1467150672,95
1467150672,95
1467150672,95
1467150823,95
1467150823,95
1467150884,95
1467150884,95
1467151263,95
1467151263,95
1467151263,95
1467151263,95
1467151263,95
1467151263,95
1467151263,95
1467151263,95
1467151273,95
1467151273,95
1467151273,95
1467151377,95
1467151377,95
1467151873,95
1467151873,95
1467151874,95
1467151986,95
1467151986,95
1467151988,95
1467151994,95
1467151996,95
1467152473,95
1467152473,95
1467152944,95
1467152944,95
1467152944,95
1467152944,95
1467152944,95
1467152944,95
1467153073,95
1467153073,95
1467153672,95
1467153672,95
1467153675,95
1467153676,95
1467153725,95
1467153726,95
1467153787,95
1467153787,95
1467153789,95
1467154272,95
1467154272,95
1467154625,95
1467154625,95
1467154625,95
1467154625,95
1467154625,95
1467154625,95
1467154835,95
1467154835,95
1467154873,95
1467154873,95
1467154925,95
1467154927,95
1467155473,95
1467155473,95
1467155589,95
1467155589,95
1467155590,95
1467155596,95
1467156073,95
1467156073,95
1467156306,95
1467156306,95
1467156306,95
1467156306,95
1467156306,95
1467156306,95
1467156673,95
1467156673,95
1467157272,95
1467157272,95
1467157391,95
1467157391,95
1467157391,95
1467157393,95
1467157395,95
1467157397,95
1467157873,95
1467157873,95
1467157987,95
1467157987,95
1467157987,95
1467157987,95
1467157987,95
1467157987,95
1467157988,95
1467158442,95
1467158442,95
1467158443,95
1467158472,95
1467158472,95
1467158532,95
1467158533,95
1467158534,95
1467159073,95
1467159073,95
1467159193,95
1467159193,95
1467159195,95
1467159196,95
1467159198,95
1467159516,95
1467159516,95
1467159520,95
1467159585,95
1467159585,95
1467159588,95
1467159669,95
1467159669,95
1467159669,95
1467159669,95
1467159669,95
1467159669,95
1467159671,94
1467159671,94
1467159671,94
1467160273,94
1467160273,94
1467160276,94
1467160277,94
1467160873,94
1467160873,94
1467160995,94
1467160995,94
1467160998,94
1467161350,94
1467161350,94
1467161350,94
1467161350,94
1467161350,94
1467161350,94
1467161473,94
1467161473,94
1467162072,94
1467162072,94
1467162672,94
1467162672,94
1467162797,94
1467162797,94
1467162799,94
1467163032,94
1467163032,94
1467163032,94
1467163032,94
1467163032,94
1467163032,94
1467163250,94
1467163250,94
1467163272,94
1467163272,94
1467163340,94
1467163342,94
1467163872,94
1467163872,94
1467163911,94
1467163913,94
1467164472,94
1467164472,94
1467164597,94
1467164597,94
1467164599,94
1467164714,94
1467164714,94
1467164714,94
1467164714,94
1467165021,94
1467165021,94
1467165073,94
1467165073,94
1467165111,94
1467165113,94
1467165673,94
1467165673,94
1467166272,94
1467166272,94
1467166395,94
1467166395,94
1467166395,94
1467166395,94
1467166398,94
1467166398,94
1467166400,94
1467166872,94
1467166872,94
1467166878,94
1467167473,94
1467167473,94
1467168047,94
1467168047,94
1467168072,94
1467168072,94
1467168076,94
1467168076,94
1467168076,94
1467168076,94
1467168076,94
1467168076,94
1467168076,94
1467168076,94
1467168199,94
1467168199,94
1467168199,94
1467168201,94
1467168672,94
1467168672,94
1467169272,94
1467169272,94
1467169272,94
1467169272,94
1467169758,94
1467169758,94
1467169758,94
1467169758,94
1467169758,94
1467169758,94
1467169829,94
1467169830,94
1467169834,94
1467169834,94
1467169872,94
1467169872,94
1467169919,94
1467169921,94
1467170001,94
1467170001,94
1467170001,94
1467170001,94
1467170003,94
1467170125,94
1467170127,94
1467170222,94
1467170224,94
1467170473,94
1467170473,94
1467171072,94
1467171072,93
1467171072,93
1467171072,93
1467171334,93
1467171334,93
1467171424,93
1467171426,93
1467171439,93
1467171439,93
1467171439,93
1467171439,93
1467171546,93
1467171548,93
1467171613,93
1467171613,93
1467171615,93
1467171616,93
1467171637,93
1467171643,93
1467171643,93
1467171644,93
1467171645,93
1467171672,93
1467171672,93
1467171674,93
1467171747,93
1467171798,93
1467171798,93
1467171798,93
1467171798,93
1467171798,93
1467171798,93
1467171798,93
1467171798,93
1467171802,93
1467171802,93
1467171804,93
1467171854,93
1467171854,93
1467171855,93
1467171855,93
1467171857,93
1467171858,93
1467171859,93
1467171861,93
1467171862,93
1467171863,93
1467171884,93
1467171885,93
1467171979,93
1467171979,93
1467171979,93
1467171979,93
1467172160,93
1467172221,93
1467172221,93
1467172272,93
1467172272,93
1467172272,93
1467172872,93
1467172872,93
1467172872,93
1467172872,93
1467172872,93
1467172872,93
1467172872,93
1467172873,93
1467172976,93
1467172976,93
1467172983,93
1467172983,93
1467173120,93
1467173120,93
1467173120,93
1467173120,93
1467173120,93
1467173120,93
1467173472,93
1467173472,93
1467173478,93
1467173479,93
1467173600,93
1467173602,93
1467173602,93
1467173604,93
1467174072,93
1467174072,93
1467174672,93
1467174672,93
1467174801,93
1467174801,93
1467174801,93
1467174801,93
1467175273,93
1467175273,93
1467175401,93
1467175402,93
1467175402,93
1467175405,93
1467175872,93
1467175872,93
1467176401,93
1467176401,93
1467176472,93
1467176472,93
1467176482,93
1467176482,93
1467176482,93
1467176482,93
1467177072,93
1467177072,93
1467177201,93
1467177203,93
1467177203,93
1467177205,93
1467177673,93
1467177673,93
1467177674,93
1467178163,93
1467178163,93
1467178163,93
1467178163,93
1467178163,93
1467178163,93
1467178272,93
1467178272,93
1467178872,93
1467178872,93
1467178927,93
1467178927,93
1467179002,93
1467179003,93
1467179003,93
1467179005,93
1467179139,93
1467179141,93
1467179472,93
1467179472,93
1467179844,93
1467179844,93
1467179844,93
1467179844,93
1467179844,93
1467179844,93
1467179993,93
1467179995,93
1467180073,93
1467180073,93
1467180079,93
1467180080,93
1467180672,93
1467180672,93
1467180802,93
1467180803,93
1467180803,93
1467180805,93
1467181273,93
1467181273,93
1467181525,93
1467181525,93
1467181525,93
1467181525,93
1467181800,93
1467181800,93
1467181872,93
1467181872,93
1467182306,93
1467182307,93
1467182397,93
1467182399,93
1467182472,93
1467182472,92
1467182472,92
1467182472,92
1467182518,92
1467182520,92
1467182605,92
1467182605,92
1467182607,92
1467183072,92
1467183072,92
1467183206,92
1467183206,92
1467183206,92
1467183206,92
1467183600,92
1467183601,92
1467183672,92
1467183672,92
1467183673,92
1467183695,92
1467183697,92
1467183748,92
1467183748,92
1467184272,92
1467184272,92
1467184404,92
1467184405,92
1467184405,92
1467184405,92
1467184405,92
1467184408,92
1467184872,92
1467184872,92
1467184887,92
1467184887,92
1467184887,92
1467184887,92
1467185473,92
1467185473,92
1467185504,92
1467185520,92
1467185521,92
1467185521,92
1467185521,92
1467185524,92
1467185539,92
1467185539,92
1467185539,92
1467185539,92
1467185761,92
1467185761,92
1467185764,92
1467185765,92
1467185766,92
1467185767,92
