current,start_time,end_time
-4.15E-01,,
-4.14E-01,,
-4.13E-01,,
-4.16E-01,,
-4.14E-01,,
-4.13E-01,,
-4.15E-01,,
-4.15E-01,,
-4.14E-01,,
-4.14E-01,,
-4.14E-01,,
-4.13E-01,,
-4.14E-01,,
-4.14E-01,,
-4.14E-01,,
-4.14E-01,,
-4.14E-01,,
-4.15E-01,,
-4.14E-01,,
-4.13E-01,,
-4.18E-01,,
-4.14E-01,,
-4.13E-01,,
-4.16E-01,,
-4.14E-01,,
-4.13E-01,,
-4.14E-01,,
-4.14E-01,,
-4.14E-01,,
-4.15E-01,,
-4.16E-01,,
-4.14E-01,,
-4.56E-01,,
-4.14E-01,,
-4.15E-01,,
-4.23E-01,,
-4.14E-01,,
-4.15E-01,,
-4.16E-01,,
-4.14E-01,,
-4.14E-01,,
-4.14E-01,,
-4.15E-01,,
-4.14E-01,,
-4.16E-01,,
-4.14E-01,,
-4.14E-01,,
-4.15E-01,,
-4.15E-01,,
-4.16E-01,,
-4.15E-01,,
-4.15E-01,,
-4.17E-01,,
-4.14E-01,,
-4.14E-01,,
-4.15E-01,,
-4.14E-01,,
-4.14E-01,,
-4.50E-01,,
-4.18E-01,,
-4.20E-01,,
-4.32E-01,,
-4.14E-01,,
-4.16E-01,,
-4.16E-01,,
-4.15E-01,,
-4.14E-01,,
-4.23E-01,,
-4.15E-01,,
-4.19E-01,,
-4.16E-01,,
-4.15E-01,,
-4.30E-01,,
-4.15E-01,,
-4.14E-01,,
-4.16E-01,,
-4.15E-01,,
-4.16E-01,,
-4.16E-01,,
-4.15E-01,,
-4.15E-01,,
-4.15E-01,,
-4.15E-01,,
-4.15E-01,,
-4.15E-01,,
-4.14E-01,,
-4.15E-01,,
-4.15E-01,,
-4.15E-01,,
-4.14E-01,,
-4.14E-01,,
-4.14E-01,,
-4.15E-01,,
-4.16E-01,,
-4.15E-01,,
-4.15E-01,,
-4.16E-01,,
-4.15E-01,,
-4.15E-01,,
-4.16E-01,,
-4.15E-01,,
-4.15E-01,,
-4.16E-01,,
-4.19E-01,,
-4.15E-01,,
-4.15E-01,,
-4.22E-01,,
-4.15E-01,,
-4.15E-01,,
-4.19E-01,,
-4.16E-01,,
-4.15E-01,,
-4.16E-01,,
-4.15E-01,,
-4.16E-01,,
-4.15E-01,,
-4.15E-01,,
-4.15E-01,,
-4.15E-01,,
-4.15E-01,,
-4.14E-01,,
-4.14E-01,,
-4.16E-01,,
-4.15E-01,,
-4.15E-01,,
-4.16E-01,,
-4.16E-01,,
-4.15E-01,,
-4.15E-01,,
-4.15E-01,,
-4.15E-01,,
-4.15E-01,,
-4.15E-01,,
-4.15E-01,,
-4.15E-01,,
-4.18E-01,,
-4.15E-01,,
-4.15E-01,,
-4.20E-01,,
-4.15E-01,,
-4.16E-01,,
-4.16E-01,,
-4.16E-01,,
-4.16E-01,,
-4.16E-01,,
-4.15E-01,,
-4.15E-01,,
-4.15E-01,,
-4.15E-01,,
-4.15E-01,,
-4.15E-01,,
-4.16E-01,,
-4.15E-01,,
-4.15E-01,,
-4.16E-01,,
-4.16E-01,,
-4.16E-01,,
-4.16E-01,,
-4.15E-01,,
-4.16E-01,,
-4.16E-01,,
-4.14E-01,,
-4.16E-01,,
-4.16E-01,,
-4.15E-01,,
-4.16E-01,,
-4.15E-01,,
-4.16E-01,,
-4.15E-01,,
-4.16E-01,,
-4.15E-01,,
-4.16E-01,,
-4.18E-01,,
-4.16E-01,,
-4.16E-01,,
-4.16E-01,,
-4.15E-01,,
-4.16E-01,,
-4.16E-01,,
-4.15E-01,,
-4.15E-01,,
-4.15E-01,,
-4.15E-01,,
-4.16E-01,,
-4.16E-01,,
-4.16E-01,,
-4.16E-01,,
-4.15E-01,,
-4.17E-01,,
-4.16E-01,,
-4.16E-01,,
-4.16E-01,,
-4.16E-01,,
-4.15E-01,,
-4.15E-01,,
-4.17E-01,,
-4.16E-01,,
-4.16E-01,,
-4.17E-01,,
-4.16E-01,,
-4.16E-01,,
-4.16E-01,,
-4.17E-01,,
-4.16E-01,,
-4.16E-01,,
-4.16E-01,,
-4.17E-01,,
-4.15E-01,,
-4.16E-01,,
-4.17E-01,,
-4.16E-01,,
-4.16E-01,,
-4.17E-01,,
-4.16E-01,,
-4.16E-01,,
-4.16E-01,,
-4.17E-01,,
-4.17E-01,,
-4.16E-01,,
-4.15E-01,,
-4.16E-01,,
-4.27E-01,,
-4.16E-01,,
-4.17E-01,,
-4.19E-01,,
-4.16E-01,,
-4.17E-01,,
-4.18E-01,,
-4.17E-01,,
-4.16E-01,,
-4.17E-01,,
-4.16E-01,,
-4.16E-01,,
-4.16E-01,,
-4.16E-01,,
-4.15E-01,,
-4.15E-01,,
-4.16E-01,,
-4.16E-01,,
-4.16E-01,,
-4.16E-01,,
-4.18E-01,,
-4.16E-01,,
-4.16E-01,,
-4.19E-01,,
-4.16E-01,,
-4.16E-01,,
-4.16E-01,,
-4.16E-01,,
-4.21E-01,,
-4.16E-01,,
-4.16E-01,,
-4.19E-01,,
-4.17E-01,,
-4.17E-01,,
-4.17E-01,,
-4.16E-01,,
-4.16E-01,,
-4.17E-01,,
-4.16E-01,,
-4.17E-01,,
-4.17E-01,,
-4.16E-01,,
-4.17E-01,,
-4.16E-01,,
-4.18E-01,,
-4.17E-01,,
-4.16E-01,,
-4.17E-01,,
-4.17E-01,,
-4.17E-01,,
-4.17E-01,,
-4.17E-01,,
-4.17E-01,,
-4.16E-01,,
-4.20E-01,,
-4.17E-01,,
-4.17E-01,,
-4.20E-01,,
-4.18E-01,,
-4.09E-01,,
-4.12E-01,,
-4.11E-01,,
-4.11E-01,,
-4.12E-01,,
-4.11E-01,,
-4.11E-01,,
-4.11E-01,,
-4.11E-01,,
-4.12E-01,,
-4.11E-01,,
-4.11E-01,,
-4.12E-01,,
-4.11E-01,,
-4.11E-01,,
-4.12E-01,,
-4.12E-01,,
-4.12E-01,,
-4.10E-01,,
-4.11E-01,,
-4.11E-01,,
